"unique_id","vin","stock_num","seller_id","seller_name","seller_address","seller_city","seller_state","seller_zip","seller_phone","seller_email","seller_lat","seller_lon","condition","make","model","year","trim","body_type","price","mileage","exterior_color","interior_color","fuel_type","engine_type","num_cylinders ","transmission","num_doors","driveline","description","features","image_urls","listing_url"
"3542","5TFCV54158X008516","3542","22489","HIGH LIFE AUTO, LLC.","519 2ND STREET","FORT MADISON","IA","52627","319-372-8191","Miriam@highlifeauto.com","","","U","TOYOTA","TUNDRA","2008","DOUBLE CAB","Truck","       ","303137","WHITE","","G","5.7L","8","Automatic","4","4WD","PLEASE READ BEFORE YOU CALL OR COME IN!!!     Here is the skinny on this car:    Good to Go:    Take a Look at:    Link to Video:    **We rely 100% on our customers to inspect and be certain about the vehicle they are buying**     **Our ''product'' we stand behind is our ability to SELL CHEAP. Above are our notes on this vehicle. We are not mechanics so we rely on our customers opinion. Feel free to bring one  directional code readers, tools, or friends to help**    THIS IS WHO WE ARE AND WHAT WE DO-  My wife and I run a small used car dealership in Fort Madison, IA. We have found the greatest need is in cheap, affordable transportation. We try to sell our vehicles as cheap as we can. Our business model is simple...Sell more cars for less, and we know prices sell. So, due to our wholesale pricing we can not hold vehicles nor accept any payment other than cash. Our biggest goal is ''To put people in a better place''. We will be honest, and upfront with you. We will not hound you on the lot if you're just here to look, nor will we play games with our prices. We are a no-haggle dealer and put a lot of pride in being BLUNT and UPFRONT. We don't offer any financing as we truly believe in the long run that won't help a short term problem. Be honest with us and we will do our best to help you find your next vehicle--even if that's not buying one from us.   Call/Text 309-337-1049 or 309-267-7200 or visit our site for quickest info www.highlifeauto.com","Air Conditioning| Power Windows| Power Locks| Power Steering| Available| AM/FM CD| Satellite| Immobilizer| Keyless Entry| Dual Front Airbags| Side Airbags| Head Airbags| Rear Head Airbags| Active Seatbelts| Extended Cab| Long Bed| All Wheel ABS| 1/2 Ton","",""
"3691","3GCEK13M59G233773","3691","22489","HIGH LIFE AUTO, LLC.","519 2ND STREET","FORT MADISON","IA","52627","319-372-8191","Miriam@highlifeauto.com","","","U","CHEVROLET","SILVERADO 1500","2009","CREW CAB","Truck","       ","221794","GRAY","","G","5.3L","8","Automatic","4","4WD","PLEASE READ BEFORE YOU CALL OR COME IN!!! We only accept CASH payment.    Here is the skinny on this car:    Good to Go:    Take a Look at:    Link to Video:    **We rely 100% on our customers to inspect and be certain about the vehicle they are buying**     **Our ''product'' we stand behind is our ability to SELL CHEAP. Above are our notes on this vehicle. We are not mechanics so we rely on our customers opinion. Feel free to bring one  directional code readers, tools, or friends to help**    THIS IS WHO WE ARE AND WHAT WE DO-  My wife and I run a small used car dealership in Fort Madison, IA. We have found the greatest need is in cheap, affordable transportation. We try to sell our vehicles as cheap as we can. Our business model is simple...Sell more cars for less, and we know prices sell. So, due to our wholesale pricing we can not hold vehicles nor accept any payment other than cash. Our biggest goal is ''To put people in a better place''. We will be honest, and upfront with you. We will not hound you on the lot if you're just here to look, nor will we play games with our prices. We are a no-haggle dealer and put a lot of pride in being BLUNT and UPFRONT. We don't offer any financing as we truly believe in the long run that won't help a short term problem. Be honest with us and we will do our best to help you find your next vehicle--even if that's not buying one from us.   Call/Text 309-337-1049 or 309-267-7200 or visit our site for quickest info www.highlifeauto.com","Available| Available| Power Steering| Tilt Wheel| AM/FM CD/MP3| Satellite| Daytime Running Lights| Dual Front Airbags| Passenger Sensor| Active Belts| Crew Cab| Short Bed| All Wheel ABS| 1/2 Ton","",""
"3741","1GCEK14T74Z324784","3741","22489","HIGH LIFE AUTO, LLC.","519 2ND STREET","FORT MADISON","IA","52627","319-372-8191","Miriam@highlifeauto.com","","","U","CHEVROLET","SILVERADO 1500","2004","LS","Pick-Up","       ","272265","RED","","G","5.3L","8","Automatic","2","4WD","PLEASE READ BEFORE YOU CALL OR COME IN!!! We only accept CASH payment.    Here is the skinny on this car:    Good to Go:    Take a Look at:    Link to Video:    **We rely 100% on our customers to inspect and be certain about the vehicle they are buying**     **Our ''product'' we stand behind is our ability to SELL CHEAP. Above are our notes on this vehicle. We are not mechanics so we rely on our customers opinion. Feel free to bring one  directional code readers, tools, or friends to help**    THIS IS WHO WE ARE AND WHAT WE DO-  My wife and I run a small used car dealership in Fort Madison, IA. We have found the greatest need is in cheap, affordable transportation. We try to sell our vehicles as cheap as we can. Our business model is simple...Sell more cars for less, and we know prices sell. So, due to our wholesale pricing we can not hold vehicles nor accept any payment other than cash. Our biggest goal is ''To put people in a better place''. We will be honest, and upfront with you. We will not hound you on the lot if you're just here to look, nor will we play games with our prices. We are a no-haggle dealer and put a lot of pride in being BLUNT and UPFRONT. We don't offer any financing as we truly believe in the long run that won't help a short term problem. Be honest with us and we will do our best to help you find your next vehicle--even if that's not buying one from us.   Call/Text 309-337-1049 or 309-267-7200 or visit our site for quickest info www.highlifeauto.com","Air Conditioning| Available| Power Steering| Tilt Wheel| AM/FM| AM/FM Cassette| AM/FM CD| Pass Key Security| Daytime Running Lights| Dual Front Airbags| Passenger Sensor| Active Belts| Conventional Cab| Regular Bed| All Wheel ABS| 1/2 Ton","",""
"3570","1J4BA3H18BL539269","3570","22489","HIGH LIFE AUTO, LLC.","519 2ND STREET","FORT MADISON","IA","52627","319-372-8191","Miriam@highlifeauto.com","","","U","JEEP","WRANGLER UNLIMI","2011","SPORT","SUV","       ","113712","BLACK","","G","3.8L","6","Automatic","4","4WD","PLEASE READ BEFORE YOU CALL OR COME IN!!! We only accept CASH payment.    Here is the skinny on this car:    Good to Go:    Take a Look at:    Link to Video:    **We rely 100% on our customers to inspect and be certain about the vehicle they are buying**     **Our ''product'' we stand behind is our ability to SELL CHEAP. Above are our notes on this vehicle. We are not mechanics so we rely on our customers opinion. Feel free to bring one  directional code readers, tools, or friends to help**    THIS IS WHO WE ARE AND WHAT WE DO-  My wife and I run a small used car dealership in Fort Madison, IA. We have found the greatest need is in cheap, affordable transportation. We try to sell our vehicles as cheap as we can. Our business model is simple...Sell more cars for less, and we know prices sell. So, due to our wholesale pricing we can not hold vehicles nor accept any payment other than cash. Our biggest goal is ''To put people in a better place''. We will be honest, and upfront with you. We will not hound you on the lot if you're just here to look, nor will we play games with our prices. We are a no-haggle dealer and put a lot of pride in being BLUNT and UPFRONT. We don't offer any financing as we truly believe in the long run that won't help a short term problem. Be honest with us and we will do our best to help you find your next vehicle--even if that's not buying one from us.   Call/Text 309-337-1049 or 309-267-7200 or visit our site for quickest info www.highlifeauto.com","Air Conditioning| Available| Power Steering| Tilt Wheel| AM/FM CD/MP3| Satellite| AM/FM CD/DVD| Passive sentry key| Dual Front Airbags| Passenger Sensor| Active Belts| All Wheel ABS| Retractable Roof Panel","",""
"3755","3GNCJPSB2GL174433","3755","22489","HIGH LIFE AUTO, LLC.","519 2ND STREET","FORT MADISON","IA","52627","319-372-8191","Miriam@highlifeauto.com","","","U","CHEVROLET","TRAX","2016","1LT","SUV","       ","144011","GRAY","","G","1.4L","4","Automatic","4","AWD","PLEASE READ BEFORE YOU CALL OR COME IN!!! We only accept CASH payment.    Here is the skinny on this car:    Good to Go:    Take a Look at:    Link to Video:    **We rely 100% on our customers to inspect and be certain about the vehicle they are buying**     **Our ''product'' we stand behind is our ability to SELL CHEAP. Above are our notes on this vehicle. We are not mechanics so we rely on our customers opinion. Feel free to bring one  directional code readers, tools, or friends to help**    THIS IS WHO WE ARE AND WHAT WE DO-  My wife and I run a small used car dealership in Fort Madison, IA. We have found the greatest need is in cheap, affordable transportation. We try to sell our vehicles as cheap as we can. Our business model is simple...Sell more cars for less, and we know prices sell. So, due to our wholesale pricing we can not hold vehicles nor accept any payment other than cash. Our biggest goal is ''To put people in a better place''. We will be honest, and upfront with you. We will not hound you on the lot if you're just here to look, nor will we play games with our prices. We are a no-haggle dealer and put a lot of pride in being BLUNT and UPFRONT. We don't offer any financing as we truly believe in the long run that won't help a short term problem. Be honest with us and we will do our best to help you find your next vehicle--even if that's not buying one from us.   Call/Text 309-337-1049 or 309-267-7200 or visit our site for quickest info www.highlifeauto.com","Air Conditioning| Power Windows| Power Locks| Power Steering| Tilt Wheel| AM/FM| Satellite| Immobilizer| Keyless Entry| Alarm| Daytime Running Lights| Dual Airbags Front Head and Side| Active Seatbelts| Dual Rear Side Airbags| All Wheel ABS","",""
"3759","LCELDUZ41K6004573","3759","22489","HIGH LIFE AUTO, LLC.","519 2ND STREET","FORT MADISON","IA","52627","319-372-8191","Miriam@highlifeauto.com","","","U","CF MOTO","4 WHEELER","2019","","Mid-Size","       ","800","ORANGE","","G","","0","Automatic","","","PLEASE READ BEFORE YOU CALL OR COME IN!!! We only accept CASH payment.    Here is the skinny on this car:    Good to Go:    Take a Look at:    Link to Video:    **We rely 100% on our customers to inspect and be certain about the vehicle they are buying**     **Our ''product'' we stand behind is our ability to SELL CHEAP. Above are our notes on this vehicle. We are not mechanics so we rely on our customers opinion. Feel free to bring one  directional code readers, tools, or friends to help**    THIS IS WHO WE ARE AND WHAT WE DO-  My wife and I run a small used car dealership in Fort Madison, IA. We have found the greatest need is in cheap, affordable transportation. We try to sell our vehicles as cheap as we can. Our business model is simple...Sell more cars for less, and we know prices sell. So, due to our wholesale pricing we can not hold vehicles nor accept any payment other than cash. Our biggest goal is ''To put people in a better place''. We will be honest, and upfront with you. We will not hound you on the lot if you're just here to look, nor will we play games with our prices. We are a no-haggle dealer and put a lot of pride in being BLUNT and UPFRONT. We don't offer any financing as we truly believe in the long run that won't help a short term problem. Be honest with us and we will do our best to help you find your next vehicle--even if that's not buying one from us.   Call/Text 309-337-1049 or 309-267-7200 or visit our site for quickest info www.highlifeauto.com","","",""
"3821","4T1BF28B13U278407","3821","22489","HIGH LIFE AUTO, LLC.","519 2ND STREET","FORT MADISON","IA","52627","319-372-8191","Miriam@highlifeauto.com","","","U","TOYOTA","AVALON","2003","XL","Sedan","       ","233717","SILVER","","G","3.0L","6","Automatic","4","FWD","PLEASE READ BEFORE YOU CALL OR COME IN!!! We only accept CASH payment. If there is no description here, check www.highlifeauto for updates.    Link to Video:    Good to Go:    Take a Look at:","Air Conditioning| Power Windows| Power Locks| Power Steering| Tilt Wheel| AM/FM CD| AM/FM Cassette| Daytime Running Lights| Dual Air Bags Front and Sides| Active Belts| All Wheel ABS","",""
"3816","2HJYK16496H565876","3816","22489","HIGH LIFE AUTO, LLC.","519 2ND STREET","FORT MADISON","IA","52627","319-372-8191","Miriam@highlifeauto.com","","","U","HONDA","RIDGELINE","2006","RTS","Truck","       ","249765","RED","","G","3.5L","6","Automatic","4","4WD","PLEASE READ BEFORE YOU CALL OR COME IN!!! We only accept CASH payment. If there is no description here, check www.highlifeauto for updates.    Link to Video:    Good to Go:    Take a Look at:","Air Conditioning| Power Windows| Power Locks| Power Steering| Tilt Wheel| AM/FM CD| Satellite| AM/FM CD/MP3| Immobilizer| Keyless Entry| Alarm| Dual Airbags Front Head and Side| Active Seatbelts| Passenger Airbag Sensor| Crew Cab| Regular Bed| All Wheel ABS| 1/2 Ton","",""
"3833","1GBG7D1B7DV105116","3833","22489","HIGH LIFE AUTO, LLC.","519 2ND STREET","FORT MADISON","IA","52627","319-372-8191","Miriam@highlifeauto.com","","","U","CHEVROLET","C6500","1983","C7D042","Commercial","       ","85661","RED","","G","","8","Automatic","","RWD","PLEASE READ BEFORE YOU CALL OR COME IN!!! We only accept CASH payment. If there is no description here, check www.highlifeauto for updates.    Link to Video:    Good to Go:    Take a Look at:","Conventional Cab","",""
"3845","2GCEK19T731253490","3845","22489","HIGH LIFE AUTO, LLC.","519 2ND STREET","FORT MADISON","IA","52627","319-372-8191","Miriam@highlifeauto.com","","","U","CHEVROLET","SILVERADO 1500","2003","LT","Truck","       ","207295","BLACK","","G","5.3L","8","Automatic","4","4WD","PLEASE READ BEFORE YOU CALL OR COME IN!!! We only accept CASH payment. If there is no description here, check www.highlifeauto for updates.    Link to Video:    Good to Go:    Take a Look at:","Available| Available| Power Steering| Tilt Wheel| AM/FM CD| Daytime Running Lights| Dual Front Airbags| Passenger Sensor| Active Belts| Extended Cab| Regular Bed| All Wheel ABS| 1/2 Ton","",""
