"Dealer Name","Dealer Street","Dealer City","Dealer State","Dealer Zip","Dealer Phone","Dealer Email Address","Location Code","Stock#","Year","Make","Model","Trim","Body Style","Cylinders","Transmission","Engine","Drivetrain","Fuel","VIN","Mileage","Exterior Color","Interior Color","Features","Internet Price","Retail Price","Down Payment","Photo URLs","Comments","Certified","Video URL","Vehicle Type","New/Used","MPG City","MPG Hwy","MPG Combined","Weekly Payment","Monthly Payment","Payment Details"
"HIGH LIFE AUTO, LLC.","519 2ND STREET","FORT MADISON","IA","52627","319-372-8191","highlifeas2@gmail.com","0","4126","2010","CHEVROLET","IMPALA","LT","4DR","6","Automatic","3.5L","2WD","Gasoline","2G1WB5EN5A1251679","194189","WHITE","","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; AM/FM CD/DVD; Sentry Key; Keyless Entry; Alarm; Daytime Running Lights; Dual Airbags Front Head and Side; Active Seatbelts; Passenger Airbag Sensor; All Wheel ABS","1850","1850","","https://cdn.frazerphotos.com/22489/22489_000004126_zdf5d54.jpg,https://cdn.frazerphotos.com/22489/22489_000004126_ib2axuu.jpg,https://cdn.frazerphotos.com/22489/22489_000004126_aig02xc.jpg,https://cdn.frazerphotos.com/22489/22489_000004126_q8mnsm2.jpg,https://cdn.frazerphotos.com/22489/22489_000004126_q7vnfbx.jpg,https://cdn.frazerphotos.com/22489/22489_000004126_smw6jo2.jpg,https://cdn.frazerphotos.com/22489/22489_000004126_3f9jlu8.jpg,https://cdn.frazerphotos.com/22489/22489_000004126_k07dyh5.jpg,https://cdn.frazerphotos.com/22489/22489_000004126_szq612f.jpg,https://cdn.frazerphotos.com/22489/22489_000004126_x96ephh.jpg,https://cdn.frazerphotos.com/22489/22489_4126_3936.jpg,https://cdn.frazerphotos.com/22489/22489_4126_3937.jpg","","No","https://youtu.be/lwxjZE3cgGs?si=bWLycXDBWn8sQQgO","Sedan","Used","0","0","0","        ","        ",""
"HIGH LIFE AUTO, LLC.","519 2ND STREET","FORT MADISON","IA","52627","319-372-8191","highlifeas2@gmail.com","0","4008","2023","DARKHORSE","TRAILER","Enclosed","CARGO","0","Automatic","","","Other","7LZBE1625PW114888","1000","WHITE","WHITE","","8900","8900","","https://cdn.frazerphotos.com/22489/22489_000004008_k0lsszn.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_9ocknag.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_55rlqx5.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_dk5k3ib.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_e1zgupj.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_1hgekp0.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_qywfoyw.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_pc6uk2a.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_k3vthb2.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_dcpr1fo.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_i7wniue.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_a5nsryt.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_shtyo9q.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_5hrokmf.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_2rot11e.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_7bk4o20.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_e4ur070.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_2p2eeox.jpg,https://cdn.frazerphotos.com/22489/22489_000004008_o0p7m6z.jpg","","No","","Boat","Used","0","0","0","        ","        ",""
"HIGH LIFE AUTO, LLC.","519 2ND STREET","FORT MADISON","IA","52627","319-372-8191","highlifeas2@gmail.com","0","4095","2017","NISSAN","ROGUE","SV","4DR","4","Continuously Variable","2.5L","AWD","Gasoline","KNMAT2MV5HP520386","239966","WHITE","GRAY","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Alarm; Daytime Running Lights; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; Sport Utility Cab; All Wheel ABS","3300","3300","","https://cdn.frazerphotos.com/22489/22489_4095_3762.jpg,https://cdn.frazerphotos.com/22489/22489_4095_3763.jpg,https://cdn.frazerphotos.com/22489/22489_4095_3764.jpg,https://cdn.frazerphotos.com/22489/22489_4095_3765.jpg,https://cdn.frazerphotos.com/22489/22489_4095_3766.jpg,https://cdn.frazerphotos.com/22489/22489_4095_3767.jpg,https://cdn.frazerphotos.com/22489/22489_4095_3768.jpg,https://cdn.frazerphotos.com/22489/22489_4095_3942.jpg,https://cdn.frazerphotos.com/22489/22489_4095_3943.jpg","","No","https://youtu.be/uD_mA2bG0Bc","Wagon","Used","0","0","0","        ","        ",""
"HIGH LIFE AUTO, LLC.","519 2ND STREET","FORT MADISON","IA","52627","319-372-8191","highlifeas2@gmail.com","0","4043","2016","BMW","I3","REX","4DR","2","Continuously Variable","0.7L","2WD","Hybrid","WBY1Z4C56GV505741","75687","BLACK","","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Daytime Running Lights; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS; Power Sun/Moon Roof","6500","6500","","https://cdn.frazerphotos.com/22489/22489_4043_3013.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3014.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3015.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3016.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3017.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3018.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3019.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3020.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3021.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3022.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3023.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3946.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3024.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3025.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3026.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3027.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3944.jpg,https://cdn.frazerphotos.com/22489/22489_4043_3945.jpg","","No","https://youtu.be/tOWVc8Wd9UA","Hatchback","Used","0","0","0","        ","        ",""
"HIGH LIFE AUTO, LLC.","519 2ND STREET","FORT MADISON","IA","52627","319-372-8191","highlifeas2@gmail.com","0","4089","2015","RAM","2500","LONGHORN","4DR","6","Automatic","6.7L","4WD","Diesel","3C6UR5GL6FG511325","544576","BLACK","BLACK","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/DVD; Satellite; Sentry Key; Keyless Entry; Alarm; Available; Dual Air Bags Front and Sides; Active Belts; Crew Cab; Regular Bed; All Wheel ABS; Power Sun/Moon Roof; 3/4 Ton","22500","22500","","https://cdn.frazerphotos.com/22489/22489_000004089_pdsd3t6.jpg,https://cdn.frazerphotos.com/22489/22489_000004089_wpa5y1h.jpg,https://cdn.frazerphotos.com/22489/22489_000004089_7v1md5m.jpg,https://cdn.frazerphotos.com/22489/22489_000004089_z6jpr6l.jpg,https://cdn.frazerphotos.com/22489/22489_000004089_nkjlmam.jpg,https://cdn.frazerphotos.com/22489/22489_000004089_jevtzc2.jpg,https://cdn.frazerphotos.com/22489/22489_000004089_qtb7ea1.jpg,https://cdn.frazerphotos.com/22489/22489_000004089_zi8p3f6.jpg,https://cdn.frazerphotos.com/22489/22489_000004089_d33604e.jpg,https://cdn.frazerphotos.com/22489/22489_000004089_qvh9q06.jpg,https://cdn.frazerphotos.com/22489/22489_000004089_kfabbug.jpg,https://cdn.frazerphotos.com/22489/22489_000004089_8t1g3p5.jpg,https://cdn.frazerphotos.com/22489/22489_000004089_9ai8ij9.jpg","PLEASE READ BEFORE YOU CALL OR COME IN!!! We only accept CASH payment. If there is no description here, check www.highlifeauto for updates.    Link to Video:    Good to Go:    Take a Look at:","No","","Truck","Used","0","0","0","        ","        ",""
"HIGH LIFE AUTO, LLC.","519 2ND STREET","FORT MADISON","IA","52627","319-372-8191","highlifeas2@gmail.com","0","4099","2014","NISSAN","JUKE","S","4DR","4","Continuously Variable","1.6L","2WD","Gasoline","JN8AF5MR4ET353862","172406","BLACK","","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Alarm; Dual Air Bags Front Head and Sides; Active Belts; All Wheel ABS","3500","3500","","https://cdn.frazerphotos.com/22489/22489_000004099_wrw2iou.jpg,https://cdn.frazerphotos.com/22489/22489_000004099_bbatlaw.jpg,https://cdn.frazerphotos.com/22489/22489_000004099_8zhezrb.jpg,https://cdn.frazerphotos.com/22489/22489_000004099_1dvd4zv.jpg,https://cdn.frazerphotos.com/22489/22489_000004099_ao3jis6.jpg,https://cdn.frazerphotos.com/22489/22489_000004099_tdqea38.jpg,https://cdn.frazerphotos.com/22489/22489_000004099_zvc7v9n.jpg,https://cdn.frazerphotos.com/22489/22489_000004099_fa3mzed.jpg,https://cdn.frazerphotos.com/22489/22489_000004099_d23jtzz.jpg,https://cdn.frazerphotos.com/22489/22489_000004099_61weg44.jpg,https://cdn.frazerphotos.com/22489/22489_000004099_871o6b3.jpg,https://cdn.frazerphotos.com/22489/22489_000004099_xg6pkrp.jpg,https://cdn.frazerphotos.com/22489/22489_4099_3940.jpg,https://cdn.frazerphotos.com/22489/22489_4099_3941.jpg","","No","https://youtu.be/twVJ-z0rMK4?si=oanG6H3CmbI3YFQX","SUV","Used","0","0","0","        ","        ",""
"HIGH LIFE AUTO, LLC.","519 2ND STREET","FORT MADISON","IA","52627","319-372-8191","highlifeas2@gmail.com","0","3570","2011","JEEP","WRANGLER UNLIMI","SPORT","4DR","6","Automatic","3.8L","4WD","Gasoline","1J4BA3H18BL539269","113712","BLACK","BLACK","Air Conditioning; Available; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; AM/FM CD/DVD; Passive sentry key; Dual Front Airbags; Passenger Sensor; Active Belts; All Wheel ABS; Retractable Roof Panel","20000","20000","","https://cdn.frazerphotos.com/22489/22489_3570_3661.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3662.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3663.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3664.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3665.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3666.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3667.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3668.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3669.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3670.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3671.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3672.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3673.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3674.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3675.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3676.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3677.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3678.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3679.jpg,https://cdn.frazerphotos.com/22489/22489_3570_3680.jpg","","No","https://youtu.be/p_FZ-3xXej8","SUV","Used","0","0","0","        ","        ",""
"HIGH LIFE AUTO, LLC.","519 2ND STREET","FORT MADISON","IA","52627","319-372-8191","highlifeas2@gmail.com","0","3917","1991","SMOKER CRAFT","SUNCHASER","DECK BOAT","","6","Automatic","150","","Gasoline","SMK85788E191","1000","WHITE","WHITE","","4500","4500","","https://cdn.frazerphotos.com/22489/22489_000003917_c3v4jjp.jpg,https://cdn.frazerphotos.com/22489/22489_000003917_q7987xq.jpg,https://cdn.frazerphotos.com/22489/22489_000003917_kaerml5.jpg,https://cdn.frazerphotos.com/22489/22489_000003917_9djd1hi.jpg,https://cdn.frazerphotos.com/22489/22489_000003917_6ow0n8r.jpg,https://cdn.frazerphotos.com/22489/22489_000003917_wlurtiy.jpg,https://cdn.frazerphotos.com/22489/22489_000003917_8fa885c.jpg,https://cdn.frazerphotos.com/22489/22489_000003917_ufguec1.jpg,https://cdn.frazerphotos.com/22489/22489_000003917_dy0twib.jpg,https://cdn.frazerphotos.com/22489/22489_3917_3750.jpg,https://cdn.frazerphotos.com/22489/22489_3917_3752.jpg,https://cdn.frazerphotos.com/22489/22489_3917_3753.jpg,https://cdn.frazerphotos.com/22489/22489_3917_3754.jpg,https://cdn.frazerphotos.com/22489/22489_3917_3755.jpg,https://cdn.frazerphotos.com/22489/22489_000003917_zb6bj3n.jpg"," this is an awesome boat! tri-haul fiberglass bottom deck boat with a mercury 150hp outboaed fuel injected. easy to work on engine and very solid boat!","No","https://youtu.be/kXeX5zOxTeI?si=bo5SuBkpAPMWXvsE","Boat","Used","0","0","0","        ","        ",""
"HIGH LIFE AUTO, LLC.","519 2ND STREET","FORT MADISON","IA","52627","319-372-8191","highlifeas2@gmail.com","0","1725","2004","DODGE","RAM 3500","ST","4DR","6","Automatic","5.9L","4WD","Diesel","3D7MU48C64G122042","337402","WHITE","","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM Cassette; AM/FM CD; Dual Front Air Bag; Active Belts; Crew Cab; Regular Bed; All Wheel ABS; 1 Ton","6000","6000","","https://cdn.frazerphotos.com/22489/22489_000001725_xxllvjx.jpg,https://cdn.frazerphotos.com/22489/22489_000001725_jbh175l.jpg,https://cdn.frazerphotos.com/22489/22489_000001725_xdvvfs4.jpg,https://cdn.frazerphotos.com/22489/22489_000001725_zi3m3zw.jpg,https://cdn.frazerphotos.com/22489/22489_000001725_wda1oi9.jpg,https://cdn.frazerphotos.com/22489/22489_000001725_gpxkhj4.jpg,https://cdn.frazerphotos.com/22489/22489_000001725_nwzlhjo.jpg,https://cdn.frazerphotos.com/22489/22489_000001725_m6b0pjb.jpg,https://cdn.frazerphotos.com/22489/22489_000001725_gud5kdc.jpg","","No","","Truck","Used","0","0","0","        ","        ",""
"HIGH LIFE AUTO, LLC.","519 2ND STREET","FORT MADISON","IA","52627","319-372-8191","highlifeas2@gmail.com","0","4227","2016","JEEP","COMPASS","SPORT","4DR","4","Continuously Variable","2.0L","2WD","Gasoline","1C4NJCBA0GD751810","190835","BLACK","BLACK","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Available; Dual Airbags Front Head and Side; Active Seatbelts; Passenger Airbag Sensor; Dual Rear Side Airbag; All Wheel ABS","3750","3750","","https://cdn.frazerphotos.com/22489/22489_000004227_569c0mv.jpg,https://cdn.frazerphotos.com/22489/22489_000004227_sly7k83.jpg,https://cdn.frazerphotos.com/22489/22489_000004227_4trw442.jpg,https://cdn.frazerphotos.com/22489/22489_000004227_rpxziw6.jpg,https://cdn.frazerphotos.com/22489/22489_000004227_r4cpvhd.jpg,https://cdn.frazerphotos.com/22489/22489_000004227_y5dxn07.jpg,https://cdn.frazerphotos.com/22489/22489_000004227_bnmnqp7.jpg,https://cdn.frazerphotos.com/22489/22489_000004227_uy1szbd.jpg,https://cdn.frazerphotos.com/22489/22489_000004227_famxti4.jpg,https://cdn.frazerphotos.com/22489/22489_000004227_gi5t52b.jpg,https://cdn.frazerphotos.com/22489/22489_000004227_cbtd8gz.jpg,https://cdn.frazerphotos.com/22489/22489_000004227_u81cjsk.jpg","","No","","SUV","Used","0","0","0","        ","        ",""
