"Stock #","Vehicle Year","Vehicle Make","Vehicle Model","Vehicle VIN","Mileage","Cylinders","Vehicle Color","Vehicle Color 2","Retail Price","Market Value","Drive Train","Body Type","Engine","Transmission","Purchase Date","Vehicle Set to Upload","Added Costs","Sales/Internet Comments","Vehicle Type","Fuel Type","Wholesale Price","Days On Lot","Total Cost","Year","Make","Model","VIN","Mileage","Color","Color2","Retail Price","Body Type","Style","Weight","Condition","Transmission","Engine","Fuel Type","Cylinder","Features","Video URL"
"1725","2004","DODGE","RAM 3500","3D7MU48C64G122042",337402,6,"WHITE","",6000,0,"4WD",4DR,5.9L,A,06/28/16,Y,9360.76,"Currently in the repair shop. Will update as possible.","Truck","Diesel","0","3487","15515.76","04","DODGE","RAM 3500","3D7MU48C64G122042","337402","WHITE","","6000","4DR","ST","0","","A","5.9L","D","6","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM Cassette; AM/FM CD; Dual Front Air Bag; Active Belts; Crew Cab; Regular Bed; All Wheel ABS; 1 Ton","",
"3570","2011","JEEP","WRANGLER UNLIMI","1J4BA3H18BL539269",113712,6,"BLACK","BLACK",20000,0,"4WD",4DR,3.8L,A,07/28/21,Y,5076.25,"This has been my personal Jeep for a few years. I have done all the upgrades including a Rough Country lift and heavy suspension upgrade. It has nearly new 35'' tires and a regeared 5.13 rear end to make that adjustment flawless. Has drive-in snow plow hook ups and a winch with synthetic rope.It's not perfect and it gets driven all the time. But the frame is solid and it will take you anywhere you want to go.","SUV","Gasoline","0","1631","20751.25","11","JEEP","WRANGLER UNLIMI","1J4BA3H18BL539269","113712","BLACK","BLACK","20000","4DR","SPORT","0","","A","3.8L","G","6","Air Conditioning; Available; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; AM/FM CD/DVD; Passive sentry key; Dual Front Airbags; Passenger Sensor; Active Belts; All Wheel ABS; Retractable Roof Panel","https://youtu.be/p_FZ-3xXej8",
"3759","2019","CF MOTO","600","LCELDUZ41K6004573",950,0,"ORANGE","BLACK",3900,0,"",,,A,05/31/22,Y,725,"*Great running 4 Wheeler. *We have used it for a couple years. *Has low miles and has been maintained as we have used it. *Have used for snow plowing in the winter and weed spraying in the spring/summer and general leisure.*Will get a video test drive as soon as possible.*MUST MAKE AN APPOINTMENT to see because it may be at my house on any given day.","Mid-Size","Gasoline","0","1324","5170","19","CF MOTO","600","LCELDUZ41K6004573","950","ORANGE","BLACK","3900","","","0","G","A","","G","0","","",
"3917","1991","SMOKER CRAFT","SUNCHASER","SMK85788E191",1000,6,"WHITE","WHITE",4500,0,"",,150,A,02/20/23,Y,0," Great running boat! 150 hp Mercury outboard motor. Seating for 9+. I have had my family out in it multipe times. Has a ladder for easy entry when jumping off the boat and swimming. Has a decent canopy on it that makes for nice boat rides. Been winterized as long as I have had it. Don't ask me to go lower. My wife already has my head on the chopping block for buying two boats when she was under anesthesia :)","Boat","Gasoline","0","1059","4400","91","SMOKER CRAFT","SUNCHASER","SMK85788E191","1000","WHITE","WHITE","4500","","DECK BOAT","0","G","A","150","G","6","","https://youtu.be/kXeX5zOxTeI?si=bo5SuBkpAPMWXvsE",
"3918","1991","SMOKER CRAFT","HOME TRAILER","5JUBT21113T004325",1000,0,"BLACK","WHITE",5000,0,"",,,A,02/20/23,N,0,"PLEASE READ BEFORE YOU CALL OR COME IN!!! We only accept CASH payment. If there is no description here, check www.highlifeauto for updates.Link to Video:Good to Go: this is an awesome boat! tri-haul fiberglass bottom deck boat with a mercury 150hp outboaed fuel injected. easy to work on engine and very solid boat!Take a Look at:","Trailer","Gasoline","0","1059","0","91","SMOKER CRAFT","HOME TRAILER","5JUBT21113T004325","1000","BLACK","WHITE","5000","","Trailer","0","","A","","G","0","","",
"3919","2003","TRITON","BASS/SKI BOAT","TJZ8Z270C303",1000,0,"RED","",7500,0,"",,,A,02/20/23,N,32.49,"","Boat","Gasoline","0","1059","5032.49","03","TRITON","BASS/SKI BOAT","TJZ8Z270C303","1000","RED","","7500","","","0","","A","","G","0","","",
"3979","2011","NISSAN","FRONTIER","1N6AD0EV4BC400462",141088,6,"BLACK","",5000,0,"4WD",4DR,4.0L,A,05/25/23,Y,485.35,"Video Test Drive URL: (The Nitty Gritty) https://youtu.be/M7P-RhESt6o?si=thma4xj3KitDLO_DJust the Basics:*This truck runs and drives well. Motor sounds good and it shifts the way it's supposed to. *4x4 works. Brakes and suspension are solid. *Passenger side window likely needs a regulator. *Recent Major Maintenance & Repairs: Brand new Nissan OEM fuel pump installed.New Nissan OEM crank and cam sensors. Still seems to have a longer crank than normal (I think). Brand new battery (installed November/December last year).","Pick-Up","Gasoline","0","965","4785.35","11","NISSAN","FRONTIER","1N6AD0EV4BC400462","141088","BLACK","","5000","4DR","S","0","","A","4.0L","G","6","Tilt Wheel; Immobilizer; Keyless Entry; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; Crew Cab; Regular Bed; All Wheel ABS","https://youtu.be/M7P-RhESt6o?si=R8EEm7bC6ZXrhv4n",
"4008","2023","DARKHORSE","TRAILER","7LZBE1625PW114888",1000,0,"WHITE","WHITE",8900,0,"",CARGO,,A,08/29/23,Y,20.23,"*Awesome trailer for whatever you can dream up. Obviously it has our decals on it, which can come off easily if needed. *We bought it brand new and have used it as a sound and lights trailer, construction trailer, toy hauler, mobile man cave (currently)...if you can dream it, this trailer can probably be used for it.*Floor is wood in good condition and has been treated. *Has electric run for lights and plenty of cargo tracks for whatever you need in there. *Ready to hook up and go wherever you need it to go!*Will get a walkaround video as soon as possible.","Boat","Other","0","869","8410.23","23","DARKHORSE","TRAILER","7LZBE1625PW114888","1000","WHITE","WHITE","8900","CARGO","Enclosed","0","E","A","","O","0","","",
"4043","2016","BMW","I3","WBY1Z4C56GV505741",75687,2,"BLACK","",6500,9430,"RWD",4DR,0.7L,C,10/24/23,Y,954.12,"Video Test Drive URL (The Nitty Gritty): https://youtu.be/tOWVc8Wd9UAJust the Basics:*Great driving car. Good power. Smooth ride. *Comes with a 110-volt charger for overnight charging and is compatible with faster commercial chargers for quick power-ups.*Primarily an electric car, but has the range extended for fuel so you don't get stranded*The exterior plastic charging door is missing.","Hatchback","Hybrid","6640","813","8194.12","16","BMW","I3","WBY1Z4C56GV505741","75687","BLACK","","6500","4DR","REX","0","","C","0.7L","H","2","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Daytime Running Lights; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS; Power Sun/Moon Roof","https://youtu.be/tOWVc8Wd9UA",
"4089","2015","RAM","2500","3C6UR5GL6FG511325",544576,6,"BLACK","BLACK",22500,20310,"4WD",4DR,6.7L,A,02/20/24,Y,5927.85,"PLEASE READ BEFORE YOU CALL OR COME IN!!! We only accept CASH payment. If there is no description here, check www.highlifeauto for updates.Link to Video:Good to Go:Take a Look at:","Truck","Diesel","0","694","14412.85","15","RAM","2500","3C6UR5GL6FG511325","544576","BLACK","BLACK","22500","4DR","LONGHORN","0","","A","6.7L","D","6","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/DVD; Satellite; Sentry Key; Keyless Entry; Alarm; Available; Dual Air Bags Front and Sides; Active Belts; Crew Cab; Regular Bed; All Wheel ABS; Power Sun/Moon Roof; 3/4 Ton","",
